ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
1,20000,2,2,1,24,2,2,0,0,0,0,3913,3102,689,0,0,0
2,120000,2,2,2,26,0,2,0,0,0,2,2682,1725,2682,3272,3455,3261
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547
5,50000,1,2,1,57,0,0,0,0,0,0,8617,5670,35835,20940,19146,19131
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024
7,5.00E+05,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944
8,1.00E+05,2,2,2,23,0,0,0,0,0,0,11876,380,601,221,0,567
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719
10,20000,1,3,2,35,0,0,0,0,0,0,0,0,0,0,13007,13912
11,2.00E+05,2,3,2,34,0,0,2,0,0,0,11073,9787,5535,2513,1828,3731
12,260000,2,1,2,51,0,0,0,0,0,2,12261,21670,9966,8517,22287,13668
13,630000,2,2,2,41,0,0,0,0,0,0,12137,6500,6500,6500,6500,2870
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104
18,320000,1,1,1,49,0,0,0,0,0,0,253286,246536,194663,70074,5856,195599
19,360000,2,1,1,49,1,0,0,0,0,0,0,0,0,0,0,0
20,180000,2,1,2,29,1,0,0,0,0,0,0,0,0,0,0,0
21,130000,2,3,2,39,0,0,0,0,0,0,38358,27688,24489,20616,11802,930
22,120000,2,2,1,39,0,0,0,0,0,0,316,316,316,0,632,316
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012
24,450000,2,1,1,40,0,0,0,0,0,0,5512,19420,1473,560,0,0
25,90000,1,1,2,23,0,0,0,0,0,0,4744,7070,0,5398,6360,8292
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046
27,60000,1,1,2,27,1,0,0,0,0,0,0,0,259,0,127,0
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617
29,50000,2,3,1,47,0,0,0,0,0,0,650,3415,3416,2040,30430,257
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400
31,230000,2,1,2,27,0,0,0,0,0,0,16646,17265,13266,15339,14307,36923
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680
33,1.00E+05,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589
34,5.00E+05,2,2,1,54,0,0,0,0,0,0,10929,4152,22722,7521,71439,8981
35,5.00E+05,1,1,1,58,0,0,0,0,0,0,13709,5006,31130,3180,0,5293
36,160000,1,1,2,30,0,0,0,0,0,0,30265,0,0,0,0,0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413
38,60000,2,2,2,22,0,0,0,0,0,0,15054,9806,11068,6026,0,18660
39,50000,1,1,2,25,1,0,0,0,0,0,0,780,0,0,0,0
40,280000,1,1,2,31,0,0,2,0,0,0,498,9075,4641,9976,17976,9477
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197
46,210000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0
47,20000,2,1,2,22,0,0,2,0,0,0,14028,16484,15800,16341,16675,0
48,150000,2,5,2,46,0,0,0,0,0,0,4463,3034,1170,1170,0,0
49,380000,1,2,2,32,0,0,0,0,0,0,22401,21540,15134,32018,11849,11873
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362
52,1.00E+05,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258
53,310000,2,2,1,49,0,0,0,0,0,0,13465,7867,7600,11185,3544,464
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540
