ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1
1,20000,2,2,1,24,3913
2,120000,2,2,2,26,2682
3,90000,2,2,2,34,29239
4,50000,2,2,1,37,46990
5,50000,1,2,1,57,8617
6,50000,1,1,2,37,64400
7,5.00E+05,1,1,2,29,367965
8,1.00E+05,2,2,2,23,11876
9,140000,2,3,1,28,11285
10,20000,1,3,2,35,0
11,2.00E+05,2,3,2,34,11073
12,260000,2,1,2,51,12261
13,630000,2,2,2,41,12137
14,70000,1,2,2,30,65802
15,250000,1,1,2,29,70887
16,50000,2,3,3,23,50614
17,20000,1,1,2,24,15376
18,320000,1,1,1,49,253286
19,360000,2,1,1,49,0
20,180000,2,1,2,29,0
21,130000,2,3,2,39,38358
22,120000,2,2,1,39,316
23,70000,2,2,2,26,41087
24,450000,2,1,1,40,5512
25,90000,1,1,2,23,4744
26,50000,1,3,2,23,47620
27,60000,1,1,2,27,0
28,50000,2,3,2,30,22541
29,50000,2,3,1,47,650
30,50000,1,1,2,26,15329
31,230000,2,1,2,27,16646
32,50000,1,2,2,33,30518
33,1.00E+05,1,1,2,32,93036
34,5.00E+05,2,2,1,54,10929
35,5.00E+05,1,1,1,58,13709
36,160000,1,1,2,30,30265
37,280000,1,2,1,40,186503
38,60000,2,2,2,22,15054
39,50000,1,1,2,25,0
40,280000,1,1,2,31,498
41,360000,1,1,2,33,218668
42,70000,2,1,2,25,67521
43,10000,1,2,2,22,1877
44,140000,2,2,1,37,59504
45,40000,2,1,2,30,18927
46,210000,1,1,2,29,0
47,20000,2,1,2,22,14028
48,150000,2,5,2,46,4463
49,380000,1,2,2,32,22401
50,20000,1,1,2,24,17447
51,70000,1,3,2,42,37042
52,1.00E+05,2,3,3,43,61559
53,310000,2,2,1,49,13465
54,180000,2,1,2,25,41402
55,150000,2,1,2,29,46224
56,5.00E+05,2,1,1,45,1905
57,180000,2,3,1,34,16386
58,180000,2,2,1,34,175886
59,2.00E+05,2,1,2,34,1587
60,4.00E+05,2,2,1,29,400134
61,5.00E+05,2,3,1,28,22848
62,70000,1,2,1,39,70800
63,50000,1,1,2,29,24987
64,50000,2,2,1,46,28718
65,130000,2,2,1,51,99
66,2.00E+05,1,1,1,57,152519
67,10000,1,2,1,56,2097
68,210000,2,1,2,30,300
69,130000,2,3,2,29,0
70,20000,1,5,2,22,18565
71,80000,1,1,2,31,780
72,320000,1,2,2,29,58267
73,2.00E+05,2,2,1,32,9076
74,290000,2,1,2,37,0
75,340000,1,1,2,32,3048
76,20000,1,2,2,24,14619
77,50000,1,3,2,25,42838
78,3.00E+05,2,1,1,45,291
79,30000,2,2,2,22,28387
80,240000,2,2,2,44,0
81,470000,2,3,3,33,165254
82,360000,2,1,2,26,23411
83,60000,1,3,2,30,26324
84,4.00E+05,2,2,1,44,131595
85,50000,2,3,2,49,48909
86,160000,1,2,2,33,130028
87,360000,2,1,1,45,390
88,160000,2,2,2,32,3826
89,130000,2,1,1,35,81313
90,20000,1,3,2,44,8583
91,2.00E+05,1,1,1,53,138180
92,280000,2,1,2,39,7524
93,1.00E+05,2,1,2,27,0
94,160000,2,2,1,37,880
95,60000,2,2,2,23,45648
96,90000,1,2,2,35,83725
97,360000,1,1,1,43,3967
98,150000,1,1,2,27,86009
99,50000,2,3,1,22,18722
100,20000,1,2,1,38,17973
101,140000,1,1,2,32,672
102,380000,2,1,2,30,0
103,480000,1,1,1,63,422069
104,50000,2,3,2,22,44698
105,60000,2,2,2,26,56685
106,70000,2,2,2,24,5580
107,80000,2,2,1,36,6108
108,350000,1,1,2,52,713
109,130000,1,2,2,38,171438
110,360000,1,2,1,35,0
111,330000,2,1,1,31,105879
112,50000,1,3,1,47,13244
113,280000,1,2,1,41,135673
114,1.00E+05,2,1,2,24,52128
115,50000,1,2,2,41,19015
116,30000,1,1,2,24,18199
117,240000,1,1,2,28,326
118,80000,1,2,2,26,14029
119,4.00E+05,1,2,1,34,19660
120,240000,2,2,2,38,50254
121,50000,1,3,2,37,46004
122,450000,1,1,1,40,0
123,110000,2,1,1,48,0
124,310000,2,2,1,35,304991
125,20000,1,1,2,27,19115
126,20000,1,2,2,23,0
127,2.00E+05,1,3,2,52,110151
128,180000,1,1,1,36,163736
129,50000,1,2,1,51,3347
